;2008;;;;;;;;;2009;;;;;;;;;2010;;;;;;;;;2011;;;;;;;;;2012;;;;;;;;;2013;;;;;;;;;2014;;;;;;;;;2015;;;;;;;;;2016;;;;;;;;;2017;;;;;;;;;2018;;;;;;;;;2019;;;;;;;;;2020;;;;;;;;;2021;;;;;;;;;2022;;;;;;;;
;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9
Cataluña;100,74;102,24;102,73;98,38;100,92;96,18;102,27;98,30;101,22;99,58;100,29;100,52;99,04;100,92;95,19;102,27;97,86;101,22;99,55;99,41;102,95;100,58;101,26;95,30;102,27;100,49;101,22;99,85;98,04;105,88;100,66;101,26;95,30;102,27;103,29;101,22;98,68;96,75;102,89;100,99;101,26;97,91;102,27;102,33;101,22;99,58;96,26;104,13;102,10;101,26;96,70;102,27;102,57;101,22;99,29;97,40;104,36;102,62;101,26;96,75;102,27;103,37;101,22;99,53;97,61;104,00;103,16;100,23;98,22;102,27;102,75;101,22;100,53;98,46;104,99;103,56;100,23;99,20;102,27;103,82;101,22;101,07;99,77;105,11;104,20;100,23;99,23;102,27;103,66;101,22;102,28;101,56;105,74;105,67;95,37;97,83;102,27;103,58;106,62;101,81;102,68;105,85;105,45;95,37;97,49;102,27;103,00;106,62;100,32;103,16;102,94;106,67;95,37;98,27;102,27;102,30;106,62;100,73;102,76;102,01;109,35;94,68;97,62;102,27;102,28;105,37;100,27;103,61;102,08;109,13;94,34;96,32;97,53;101,78;103,64
Comunitat Valenciana;98,98;99,56;98,58;99,63;99,10;97,01;107,37;97,69;105,07;98,49;97,17;98,57;99,20;99,10;97,83;107,37;100,57;105,07;98,70;95,91;99,43;100,66;101,63;99,01;107,37;101,46;105,07;99,78;94,73;101,77;101,23;101,63;99,01;107,37;102,88;105,07;97,82;93,76;100,79;102,46;101,63;99,96;107,37;102,14;105,07;97,78;92,90;99,44;103,53;101,63;100,34;107,37;103,93;105,07;96,42;93,65;100,78;102,29;101,63;100,69;107,37;102,53;105,07;97,38;94,82;101,40;102,71;102,25;101,35;107,37;101,43;105,07;97,36;95,91;101,14;103,20;102,25;101,55;107,37;101,79;105,07;97,78;96,74;102,27;103,48;102,25;101,58;107,37;102,71;105,07;101,00;98,23;102,67;104,55;99,52;102,27;107,37;103,00;108,66;101,50;99,31;102,71;105,50;99,52;101,89;107,37;104,23;108,66;99,54;99,65;101,66;105,58;99,52;102,88;107,37;102,44;108,66;100,55;99,03;101,26;109,29;98,47;102,17;107,37;102,74;107,30;101,60;100,54;101,90;108,51;97,59;101,33;104,89;102,32;105,02
Extremadura;97,99;95,35;97,20;96,40;97,40;105,70;98,23;103,50;97,63;98,95;93,89;96,86;96,20;97,40;104,30;98,23;102,83;97,63;95,53;92,95;97,58;97,67;99,04;105,40;98,23;102,22;97,63;97,93;91,25;99,47;98,99;99,04;105,40;98,23;103,76;97,63;97,29;89,04;99,75;97,60;99,04;104,83;98,23;106,23;97,63;95,52;88,58;95,88;97,80;99,04;105,48;98,23;104,05;97,63;95,76;89,54;95,90;98,62;99,04;104,14;98,23;103,88;97,63;96,62;89,80;99,65;99,13;99,52;106,00;98,23;103,42;97,63;96,64;90,91;98,79;99,12;99,52;105,80;98,23;103,71;97,63;95,73;91,02;102,23;99,50;99,52;106,42;98,23;104,66;97,63;96,94;93,31;104,00;100,15;101,06;107,01;98,23;106,79;107,25;98,16;94,45;103,79;100,43;101,06;106,42;98,23;106,21;107,25;97,44;94,60;101,00;100,73;101,06;105,51;98,23;105,20;107,25;98,18;95,21;99,97;103,76;102,12;105,81;98,23;105,42;105,45;98,20;96,44;101,38;106,83;98,17;105,40;99,54;104,84;100,86
Galicia;98,62;97,90;97,38;102,86;92,54;106,49;94,36;98,07;85,89;97,53;96,89;95,32;102,14;92,54;106,14;94,36;96,78;85,89;97,59;95,55;96,25;102,29;94,73;106,60;94,36;98,55;85,89;98,56;94,48;97,32;102,68;94,73;106,60;94,36;98,01;85,89;97,81;93,82;96,18;102,12;94,73;106,61;94,36;98,48;85,89;97,11;92,92;96,57;102,49;94,73;107,11;94,36;98,66;85,89;96,54;92,69;95,35;102,92;94,73;105,79;94,36;97,99;85,89;97,28;93,49;96,65;104,04;95,31;106,53;94,36;98,51;85,89;97,65;94,50;97,81;104,45;95,31;106,84;94,36;98,92;85,89;99,38;95,07;100,61;104,61;95,31;106,92;94,36;98,00;85,89;100,74;98,55;99,43;104,75;101,11;106,83;94,36;99,52;93,81;100,96;99,39;100,70;106,18;101,11;106,19;94,36;100,34;93,81;99,79;100,17;100,55;107,21;101,11;107,02;94,36;99,02;93,81;100,14;99,53;99,36;110,22;99,27;106,05;94,36;99,12;94,72;100,14;100,40;99,93;110,96;94,92;106,22;93,04;99,25;92,62
Madrid, Comunidad de;100,24;102,49;103,57;104,91;100,37;93,46;102,85;99,36;99,14;100,07;101,36;103,11;104,35;100,37;93,20;102,85;99,08;99,14;99,98;100,15;103,20;106,14;100,63;94,38;102,85;102,06;99,14;100,84;98,85;103,73;108,34;100,63;94,38;102,85;102,39;99,14;100,03;98,28;105,71;107,66;100,63;94,87;102,85;103,10;99,14;99,30;97,30;102,70;108,51;100,63;95,50;102,85;100,98;99,14;99,59;97,84;105,30;107,86;100,63;93,40;102,85;101,15;99,14;100,20;98,26;105,60;108,07;101,92;95,44;102,85;101,12;99,14;99,90;98,38;106,53;108,47;101,92;95,83;102,85;101,61;99,14;100,51;99,55;109,30;108,67;101,92;96,03;102,85;103,70;99,14;101,47;101,14;106,28;108,97;98,67;95,01;102,85;101,15;103,60;102,05;101,94;108,30;109,90;98,67;94,77;102,85;101,82;103,60;101,35;102,16;103,82;111,11;98,67;96,75;102,85;101,04;103,60;101,27;102,06;104,02;113,10;98,12;96,13;102,85;100,83;102,77;101,73;102,77;105,61;113,81;98,19;95,04;101,76;100,53;101,90
Murcia, Región de;98,43;98,63;98,23;96,54;99,12;101,01;105,42;100,82;103,73;94,99;96,88;96,85;96,59;99,12;99,74;105,42;99,22;103,73;93,55;94,75;97,90;97,76;99,60;100,09;105,42;99,08;103,73;96,86;94,31;100,22;98,32;99,60;100,09;105,42;101,32;103,73;95,33;92,83;97,88;99,74;99,60;101,02;105,42;99,39;103,73;94,11;91,92;97,71;100,84;99,60;101,18;105,42;99,61;103,73;93,55;92,25;97,42;99,48;99,60;101,55;105,42;98,82;103,73;94,35;92,38;98,75;98,84;98,28;101,40;105,42;99,55;103,73;95,32;93,94;100,45;99,16;98,28;100,56;105,42;98,52;103,73;96,35;94,85;99,40;100,51;98,28;99,79;105,42;97,99;103,73;96,71;95,92;97,95;101,41;95,98;101,47;105,42;101,23;103,29;97,94;96,95;100,43;101,45;95,98;98,54;105,42;101,29;103,29;97,57;97,38;98,95;103,57;95,98;99,75;105,42;96,94;103,29;97,06;97,96;98,92;104,74;94,95;99,00;105,42;96,80;103,17;98,59;99,11;100,90;104,18;94,10;98,71;101,91;96,25;104,02
Navarra, Comunidad Foral de;105,66;103,84;103,56;107,93;102,60;106,62;102,37;109,27;105,55;105,79;102,38;102,24;108,04;102,60;106,77;102,37;109,15;105,55;105,44;102,51;101,62;109,55;102,51;106,32;102,37;108,69;105,55;105,96;101,12;103,04;110,20;102,51;106,32;102,37;108,53;105,55;105,89;100,11;105,12;109,34;102,51;105,61;102,37;109,44;105,55;106,38;99,98;103,96;109,61;102,51;106,17;102,37;109,22;105,55;105,82;99,91;104,56;108,74;102,51;105,94;102,37;109,20;105,55;105,69;100,11;104,02;108,49;104,77;105,65;102,37;108,94;105,55;105,40;100,91;105,50;109,04;104,77;106,39;102,37;110,80;105,55;108,13;102,56;107,56;108,94;104,77;105,70;102,37;111,47;105,55;105,71;102,76;104,94;109,82;101,01;103,68;102,37;106,22;107,42;106,85;103,30;105,86;110,36;101,01;103,46;102,37;109,00;107,42;104,94;103,19;106,24;112,31;101,01;106,21;102,37;109,27;107,42;105,23;102,95;105,49;115,26;100,35;105,44;102,37;109,06;106,71;104,63;103,49;105,26;116,49;101,45;104,05;100,06;108,65;106,81
País Vasco;105,54;103,05;101,19;111,30;101,03;100,61;91,28;102,23;99,30;105,32;102,38;101,37;111,61;101,03;101,04;91,28;104,28;99,30;104,79;102,65;101,24;112,22;103,67;100,39;91,28;103,46;99,30;104,13;101,29;101,48;111,78;103,67;100,39;91,28;104,14;99,30;104,89;100,52;102,24;112,98;103,67;100,44;91,28;104,72;99,30;104,29;99,67;99,76;112,30;103,67;100,38;91,28;106,59;99,30;104,55;99,25;104,07;111,21;103,67;99,50;91,28;107,65;99,30;104,86;99,99;104,89;112,28;103,59;101,70;91,28;108,22;99,30;105,40;100,61;105,27;112,63;103,59;102,10;91,28;108,80;99,30;105,49;101,16;105,37;113,52;103,59;101,82;91,28;107,87;99,30;105,60;102,20;102,76;112,96;98,72;100,80;91,28;104,79;102,49;105,40;102,80;103,48;113,23;98,72;99,75;91,28;105,64;102,49;105,31;103,42;105,47;113,98;98,72;100,27;91,28;105,65;102,49;105,35;102,89;105,28;118,46;98,37;99,96;91,28;105,58;101,77;105,94;103,81;105,08;119,28;99,46;99,29;92,17;105,30;104,60
Rioja, La;101,91;103,13;99,05;99,42;104,66;107,43;105,15;106,74;103,53;101,41;101,99;100,42;102,01;104,66;106,41;105,15;104,94;103,53;100,85;100,81;101,36;103,15;103,62;107,65;105,15;106,98;103,53;100,46;98,78;100,16;101,43;103,62;107,65;105,15;105,25;103,53;100,82;97,74;102,05;103,47;103,62;107,61;105,15;106,49;103,53;99,80;97,12;102,50;105,77;103,62;107,03;105,15;107,70;103,53;100,95;97,88;103,08;103,84;103,62;107,76;105,15;106,72;103,53;101,09;98,78;102,81;103,01;103,65;108,26;105,15;107,80;103,53;102,16;99,49;104,16;103,73;103,65;107,87;105,15;106,86;103,53;104,72;99,69;105,75;103,28;103,65;108,70;105,15;107,75;103,53;103,22;101,67;102,76;103,50;101,67;108,07;105,15;104,61;106,64;105,66;102,12;104,48;105,84;101,67;108,35;105,15;105,34;106,64;105,29;102,53;102,98;106,04;101,67;107,09;105,15;105,51;106,64;104,52;102,65;101,43;109,16;100,58;107,40;105,15;105,87;105,67;104,73;103,54;102,19;109,82;99,86;107,19;102,04;105,51;105,82
Ceuta;92,27;96,80;98,89;95,11;95,75;93,79;100,75;90,37;106,67;91,08;99,01;100,77;97,52;95,75;91,73;100,75;91,82;106,67;93,82;96,65;99,96;93,89;97,18;92,42;100,75;92,47;106,67;93,48;93,41;101,82;94,89;97,18;92,42;100,75;95,17;106,67;88,37;91,03;101,20;96,39;97,18;89,07;100,75;91,76;106,67;86,74;92,50;99,34;96,65;97,18;90,76;100,75;89,40;106,67;88,06;92,40;101,57;94,63;97,18;87,57;100,75;86,70;106,67;89,66;94,07;104,80;98,61;95,52;91,80;100,75;88,86;106,67;91,34;95,88;106,06;99,44;95,52;90,46;100,75;87,79;106,67;93,21;97,44;100,55;99,27;95,52;94,93;100,75;93,54;106,67;90,02;93,71;98,09;98,30;97,49;96,72;100,75;96,05;107,91;93,50;94,66;98,33;97,28;97,49;92,61;100,75;97,02;107,91;92,35;95,26;102,94;97,68;97,49;93,32;100,75;93,08;107,91;90,99;95,03;99,42;103,08;97,69;92,89;100,75;93,20;109,29;91,35;95,43;99,13;100,54;95,22;90,41;98,18;93,08;104,85
Melilla;100,00;98,45;98,33;95,27;97,64;98,96;99,87;95,73;103,63;97,82;96,64;99,99;96,40;97,64;98,70;99,87;94,38;103,63;95,97;93,68;99,52;96,41;98,19;99,95;99,87;91,51;103,63;94,97;97,68;104,02;102,94;98,19;99,95;99,87;100,48;103,63;102,25;94,00;105,43;96,36;98,19;101,75;99,87;98,43;103,63;95,40;93,46;101,27;95,55;98,19;97,56;99,87;98,13;103,63;96,74;94,14;99,05;99,26;98,19;101,46;99,87;97,12;103,63;95,34;91,72;99,57;99,16;100,17;99,35;99,87;95,41;103,63;96,01;92,83;97,50;97,70;100,17;96,58;99,87;96,14;103,63;98,27;94,87;105,28;101,23;100,17;102,85;99,87;97,93;103,63;97,70;96,45;104,12;100,57;106,61;99,76;99,87;95,74;109,31;94,24;94,49;107,40;101,32;106,61;100,55;99,87;96,19;109,31;91,27;97,67;103,05;103,05;106,61;97,58;99,87;94,32;109,31;92,19;97,56;102,36;108,19;105,09;98,05;99,87;94,31;106,11;93,58;98,07;104,26;109,15;98,37;95,39;97,49;93,92;104,96
